,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_loss,param_criterion,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0,6.338034582138062,0.3119441203219394,0.005595970153808594,0.0004996905651440453,50,10,5,1,exponential,friedman_mse,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 1, 'loss': 'exponential', 'criterion': 'friedman_mse'}",0.8510028653295129,0.861764705882353,0.8366197183098592,0.8559077809798271,0.8600583090379009,0.8530706759078907,0.009026319134907161,8,0.99,0.9766666666666667,0.99,0.9933110367892977,0.9833333333333333,0.9866622073578595,0.00595786687049433,7,0.9152542372881356,0.9156250000000001,0.9068702290076336,0.9195046439628483,0.9175738724727839,0.9149655965462802,0.004323405063998554,8,0.9083333333333333,0.91,0.8983333333333333,0.9131886477462438,0.9115191986644408,0.9082749026154703,0.005224643968539791,8
1,16.853882312774658,0.5799536152616225,0.006795740127563477,0.0007592626666830735,100,2,10,5,exponential,squared_error,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_depth': 5, 'loss': 'exponential', 'criterion': 'squared_error'}",0.9230769230769231,0.9283489096573209,0.922360248447205,0.9127725856697819,0.9456869009584664,0.9264491135619395,0.010852092801821114,2,1.0,0.9933333333333333,0.99,0.979933110367893,0.9866666666666667,0.9899866220735787,0.006686756975435382,5,0.9600000000000001,0.9597423510466988,0.9549839228295819,0.9451612903225806,0.965742251223491,0.9571259630844704,0.00688603988091878,1,0.9583333333333334,0.9583333333333334,0.9533333333333334,0.9432387312186978,0.9649415692821369,0.955636060100167,0.007213035157025643,1
2,6.902398014068604,0.12637567183698725,0.005795049667358399,0.00039862706320688886,50,10,15,3,exponential,squared_error,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 15, 'max_depth': 3, 'loss': 'exponential', 'criterion': 'squared_error'}",0.9115853658536586,0.896969696969697,0.9024390243902439,0.8945783132530121,0.9051987767584098,0.9021542354450043,0.0060426913473793946,6,0.9966666666666667,0.9866666666666667,0.9866666666666667,0.9933110367892977,0.9866666666666667,0.9899955406911929,0.004212852785718607,3,0.9522292993630573,0.9396825396825397,0.9426751592356688,0.9413629160063393,0.9441786283891547,0.9440257085353518,0.00436118906028111,5,0.95,0.9366666666666666,0.94,0.9382303839732888,0.9415692821368948,0.94129326655537,0.0046549458966154925,5
3,17.527205514907838,0.23920526728525118,0.007400798797607422,0.0004925803408269325,50,30,1,20,exponential,squared_error,"{'n_estimators': 50, 'min_samples_split': 30, 'min_samples_leaf': 1, 'max_depth': 20, 'loss': 'exponential', 'criterion': 'squared_error'}",0.9254658385093167,0.9242902208201893,0.9254658385093167,0.915625,0.948051948051948,0.927779769178154,0.01078503730256181,1,0.9933333333333333,0.9766666666666667,0.9933333333333333,0.979933110367893,0.9733333333333334,0.983319955406912,0.008438069279338404,9,0.9581993569131833,0.9497568881685576,0.9581993569131833,0.9466882067851374,0.9605263157894737,0.954674024913907,0.005423223485358736,4,0.9566666666666667,0.9483333333333334,0.9566666666666667,0.9449081803005008,0.9599332220367279,0.9533016138007792,0.005687862974832233,4
4,17.17160086631775,0.3738141190719111,0.005588531494140625,0.00048002955384091636,150,50,5,1,exponential,friedman_mse,"{'n_estimators': 150, 'min_samples_split': 50, 'min_samples_leaf': 5, 'max_depth': 1, 'loss': 'exponential', 'criterion': 'friedman_mse'}",0.8898809523809523,0.8966565349544073,0.8888888888888888,0.8885542168674698,0.8813056379821959,0.8890572462147828,0.004874351117868304,7,0.9966666666666667,0.9833333333333333,0.9866666666666667,0.9866220735785953,0.99,0.9886577480490525,0.004525531690515746,6,0.9402515723270439,0.9379968203497616,0.9352290679304898,0.9350237717908082,0.9324960753532181,0.9361994615502643,0.0026716691379617126,7,0.9366666666666666,0.935,0.9316666666666666,0.9315525876460768,0.9282136894824707,0.9326199220923762,0.00294970157932644,7
5,1.1471789360046387,0.025523756229964185,0.0047795772552490234,0.00040199250327849006,10,30,10,1,exponential,friedman_mse,"{'n_estimators': 10, 'min_samples_split': 30, 'min_samples_leaf': 10, 'max_depth': 1, 'loss': 'exponential', 'criterion': 'friedman_mse'}",0.7518796992481203,0.7299270072992701,0.702576112412178,0.7346437346437347,0.7537688442211056,0.7345590795648818,0.018511576768098646,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.8583690987124464,0.8438818565400844,0.8253094910591472,0.8470254957507082,0.8595988538681949,0.8468369591861162,0.012394000642033663,10,0.835,0.815,0.7883333333333333,0.8196994991652755,0.8363939899833055,0.8188853644963828,0.017409301677968298,10
6,2.135259485244751,0.05122436912381478,0.005399560928344727,0.000490778088960182,10,2,10,10,deviance,friedman_mse,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_depth': 10, 'loss': 'deviance', 'criterion': 'friedman_mse'}",0.9085365853658537,0.8942598187311178,0.9027355623100304,0.8953846153846153,0.9122257053291536,0.9026284574241542,0.007064445847346559,5,0.9933333333333333,0.9866666666666667,0.99,0.9732441471571907,0.97,0.982648829431438,0.009303572250180605,10,0.9490445859872612,0.9381933438985737,0.9443561208267091,0.9326923076923077,0.9402261712439418,0.9409025059297587,0.005539409104514914,6,0.9466666666666667,0.935,0.9416666666666667,0.9298831385642737,0.9382303839732888,0.9382893711741792,0.005710926256138392,6
7,5.8176891803741455,0.1255965013109715,0.00497593879699707,2.346339245300389e-05,50,30,1,1,exponential,squared_error,"{'n_estimators': 50, 'min_samples_split': 30, 'min_samples_leaf': 1, 'max_depth': 1, 'loss': 'exponential', 'criterion': 'squared_error'}",0.8510028653295129,0.861764705882353,0.8366197183098592,0.8559077809798271,0.8600583090379009,0.8530706759078907,0.009026319134907161,8,0.99,0.9766666666666667,0.99,0.9933110367892977,0.9833333333333333,0.9866622073578595,0.00595786687049433,7,0.9152542372881356,0.9156250000000001,0.9068702290076336,0.9195046439628483,0.9175738724727839,0.9149655965462802,0.004323405063998554,8,0.9083333333333333,0.91,0.8983333333333333,0.9131886477462438,0.9115191986644408,0.9082749026154703,0.005224643968539791,8
8,20.729660415649413,0.5824395598328992,0.006185150146484375,0.00039628402862517276,150,2,15,3,exponential,squared_error,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 15, 'max_depth': 3, 'loss': 'exponential', 'criterion': 'squared_error'}",0.9226006191950464,0.9226006191950464,0.9192546583850931,0.9164086687306502,0.9367088607594937,0.923514685253066,0.006991431906898041,3,0.9933333333333333,0.9933333333333333,0.9866666666666667,0.9899665551839465,0.9866666666666667,0.9899933110367891,0.002981453983848157,4,0.956661316211878,0.956661316211878,0.9517684887459806,0.9517684887459806,0.961038961038961,0.9555797141909356,0.003498399085171195,3,0.955,0.955,0.95,0.9499165275459098,0.9599332220367279,0.9539699499165275,0.003738271150755221,3
9,22.5150906085968,0.5703235095747118,0.006795263290405274,0.0007407875521535988,150,10,5,3,deviance,squared_error,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3, 'loss': 'deviance', 'criterion': 'squared_error'}",0.9259259259259259,0.9285714285714286,0.916923076923077,0.899390243902439,0.9341692789968652,0.9209959908639471,0.01215420886888645,4,1.0,0.9966666666666667,0.9933333333333333,0.9866220735785953,0.9933333333333333,0.9939910813823858,0.004436967445698936,2,0.9615384615384615,0.9614147909967846,0.9536,0.9409888357256778,0.9628432956381259,0.95607707677981,0.008220590753266172,2,0.96,0.96,0.9516666666666667,0.9382303839732888,0.9616026711185309,0.9542999443516973,0.008757579678659142,2
