,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_criterion,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0,0.1717257022857666,0.011067451046272749,0.020106744766235352,0.0006446286642007835,50,10,1,3,gini,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 3, 'criterion': 'gini'}",0.8776119402985074,0.8409090909090909,0.8604651162790697,0.7754569190600522,0.8490028490028491,0.8406891831099138,0.03486772491634383,8,0.98,0.9866666666666667,0.9866666666666667,0.9933110367892977,0.9933333333333333,0.9879955406911929,0.004984115013723053,4,0.925984251968504,0.9079754601226994,0.9192546583850931,0.8709677419354839,0.9155145929339478,0.9079393410691458,0.01938009341168282,6,0.9216666666666666,0.9,0.9133333333333333,0.8530884808013356,0.9081803005008348,0.8992537562604342,0.024133154677491424,6
1,0.07322440147399903,0.010727031529092875,0.008804225921630859,0.00042856275385344485,10,50,15,10,gini,"{'n_estimators': 10, 'min_samples_split': 50, 'min_samples_leaf': 15, 'max_depth': 10, 'criterion': 'gini'}",0.8783783783783784,0.9138576779026217,0.830028328611898,0.8038674033149171,0.8722741433021807,0.8596811863019992,0.038568718257728625,7,0.8666666666666667,0.8133333333333334,0.9766666666666667,0.9732441471571907,0.9333333333333333,0.9126488294314381,0.06352299075762606,8,0.87248322147651,0.8606701940035273,0.8973966309341501,0.880484114977307,0.9017713365539454,0.882561099589088,0.015324590919315133,8,0.8733333333333333,0.8683333333333333,0.8883333333333333,0.8681135225375626,0.8981636060100167,0.8792554257095159,0.011986934348547147,8
2,0.10137839317321777,0.002616714615181442,0.008924198150634766,0.0005084698744474312,10,2,10,20,gini,"{'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_depth': 20, 'criterion': 'gini'}",0.8888888888888888,0.9056603773584906,0.873900293255132,0.8757396449704142,0.855072463768116,0.8798523336482083,0.016817237555825197,5,0.96,0.96,0.9933333333333333,0.9899665551839465,0.9833333333333333,0.9773266443701226,0.014508528247238278,6,0.923076923076923,0.9320388349514563,0.9297971918876755,0.9293563579277865,0.9147286821705427,0.9257995980028767,0.006285499373172936,5,0.92,0.93,0.925,0.9248747913188647,0.9081803005008348,0.9216110183639399,0.00742282945793973,5
3,0.72617506980896,0.036927816075298284,0.03636436462402344,0.0020579186983038693,100,2,5,10,gini,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_depth': 10, 'criterion': 'gini'}",0.9118541033434651,0.8925373134328358,0.8695652173913043,0.8768328445747801,0.8742690058479532,0.8850116969180677,0.015479292319001565,4,1.0,0.9966666666666667,1.0,1.0,0.9966666666666667,0.9986666666666666,0.0016329931618554352,3,0.9538950715421304,0.9417322834645668,0.9302325581395349,0.934375,0.9314641744548287,0.9383398175202121,0.00874295891637067,3,0.9516666666666667,0.9383333333333334,0.925,0.9298831385642737,0.9265442404006677,0.9342854757929884,0.009838885160738301,3
4,0.05420804023742676,0.003962600732366273,0.009800243377685546,0.0016003615736398618,10,10,1,5,entropy,"{'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 5, 'criterion': 'entropy'}",0.8745098039215686,0.7886178861788617,0.823045267489712,0.7573333333333333,0.8038674033149171,0.8094747388476785,0.03898434460351093,9,0.7433333333333333,0.97,0.6666666666666666,0.9498327759197325,0.97,0.8599665551839465,0.12904170715358285,9,0.8036036036036036,0.8699551569506726,0.7366482504604052,0.8427299703264095,0.879154078549849,0.826418211978188,0.0520033902879453,9,0.8183333333333334,0.855,0.7616666666666667,0.8230383973288815,0.8664440734557596,0.8248964941569282,0.0365430187529808,9
5,1.748490810394287,0.044509334943854624,0.048871946334838864,0.00718238570956509,150,2,1,20,entropy,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'entropy'}",0.9174311926605505,0.92,0.8955223880597015,0.906060606060606,0.9259259259259259,0.9129880225413567,0.010856670019132254,1,1.0,0.9966666666666667,1.0,1.0,1.0,0.9993333333333332,0.0013333333333333196,1,0.9569377990430622,0.9568,0.9448818897637796,0.9507154213036566,0.9615384615384615,0.9541747143297921,0.005780567992705319,1,0.955,0.955,0.9416666666666667,0.9482470784641068,0.9599332220367279,0.9519693934335003,0.00635285016204238,1
6,0.19399771690368653,0.015578610657328334,0.030245256423950196,0.000980500798374996,100,10,1,1,entropy,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 1, 'criterion': 'entropy'}",0.8048780487804879,0.9316239316239316,0.8712574850299402,0.8668639053254438,0.8839285714285714,0.8717103884376749,0.04056888412771043,6,0.99,0.7266666666666667,0.97,0.979933110367893,0.99,0.9313199554069118,0.10259536884682022,7,0.8878923766816144,0.8164794007490637,0.917981072555205,0.9199372056514913,0.9339622641509434,0.8952504639576636,0.042151491324156055,7,0.875,0.8366666666666667,0.9133333333333333,0.9148580968280468,0.9298831385642737,0.8939482470784641,0.03389553166296553,7
7,0.11466574668884277,0.006233158421008563,0.008221244812011719,0.0003845147728807319,10,30,1,20,gini,"{'n_estimators': 10, 'min_samples_split': 30, 'min_samples_leaf': 1, 'max_depth': 20, 'criterion': 'gini'}",0.8966565349544073,0.9104938271604939,0.8882175226586103,0.8629737609329446,0.8727810650887574,0.8862245421590427,0.01687081825400902,3,0.9833333333333333,0.9833333333333333,0.98,0.9899665551839465,0.9833333333333333,0.9839933110367893,0.0032537022108751223,5,0.9379968203497616,0.9455128205128206,0.9318541996830428,0.9221183800623053,0.9247648902821317,0.9324494221780124,0.008573946046058788,4,0.935,0.9433333333333334,0.9283333333333333,0.9165275459098498,0.9198664440734557,0.9286121313299944,0.009799190101811966,4
8,0.024032163619995116,0.0012124781413551423,0.008211803436279298,0.00046818880861436625,10,50,10,1,gini,"{'n_estimators': 10, 'min_samples_split': 50, 'min_samples_leaf': 10, 'max_depth': 1, 'criterion': 'gini'}",0.6925,0.6519823788546255,0.8627450980392157,0.7604790419161677,0.550561797752809,0.7036536633125635,0.10466198297396884,10,0.9233333333333333,0.9866666666666667,0.29333333333333333,0.42474916387959866,0.98,0.7216164994425864,0.29975322879914296,10,0.7914285714285715,0.7851458885941645,0.4378109452736318,0.5450643776824035,0.7050359712230216,0.6528971508403585,0.139491306188297,10,0.7566666666666667,0.73,0.6233333333333333,0.6460767946577629,0.5893155258764607,0.6690784641068448,0.06382311002343266,10
9,0.7868451595306396,0.06914208155142704,0.05510048866271973,0.004266418483689238,150,2,15,5,gini,"{'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 15, 'max_depth': 5, 'criterion': 'gini'}",0.8849557522123894,0.906060606060606,0.8875739644970414,0.8691860465116279,0.8875739644970414,0.8870700667557412,0.011708602948576516,2,1.0,0.9966666666666667,1.0,1.0,1.0,0.9993333333333332,0.0013333333333333196,1,0.9389671361502347,0.949206349206349,0.9404388714733541,0.9300155520995335,0.9404388714733541,0.9398133560805653,0.006094651916155088,2,0.935,0.9466666666666667,0.9366666666666666,0.9248747913188647,0.9365609348914858,0.9359538119087368,0.006918041220961939,2
