,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_shrinking,param_kernel,param_gamma,param_degree,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0,1.1865579605102539,0.11567253486451082,0.2955890655517578,0.016347255491737565,True,linear,scale,10,"{'shrinking': True, 'kernel': 'linear', 'gamma': 'scale', 'degree': 10}",0.9551282051282052,0.9614147909967846,0.9615384615384616,0.9551282051282052,0.9771241830065359,0.9620667691596385,0.008046331311358868,3,0.9933333333333333,0.9966666666666667,1.0,0.9966555183946488,0.9966666666666667,0.9966644370122631,0.0021081898230186813,2,0.9738562091503268,0.9787234042553191,0.9803921568627451,0.9754500818330606,0.9867986798679869,0.9790441063938877,0.00451408440432934,1,0.9733333333333334,0.9783333333333334,0.98,0.9749582637729549,0.986644407345576,0.9786538675570394,0.00464174778740317,1
1,2.4526594161987303,0.01597105806270139,0.585146427154541,0.005464719329611405,True,rbf,auto,1,"{'shrinking': True, 'kernel': 'rbf', 'gamma': 'auto', 'degree': 1}",0.6493506493506493,0.646551724137931,0.6122448979591837,0.4991652754590985,0.0,0.4814625093813725,0.24684588122956763,8,1.0,1.0,1.0,1.0,0.0,0.8,0.4,8,0.7874015748031497,0.7853403141361257,0.759493670886076,0.6659242761692651,0.0,0.5996319671989233,0.3030689513240254,8,0.73,0.7266666666666667,0.6833333333333333,0.4991652754590985,0.4991652754590985,0.6276661101836394,0.106204617575604,8
2,2.1686886310577393,0.0161107316780504,0.39144225120544435,0.004676711755941402,True,rbf,scale,10,"{'shrinking': True, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 10}",0.9463722397476341,0.9400630914826499,0.9287925696594427,0.943217665615142,0.9583333333333334,0.9433557799676404,0.009553785657432888,7,1.0,0.9933333333333333,1.0,1.0,0.9966666666666667,0.998,0.0026666666666666787,1,0.9724473257698542,0.9659643435980552,0.9630818619582664,0.9707792207792209,0.977124183006536,0.9698793870223866,0.004927981149809212,7,0.9716666666666667,0.965,0.9616666666666667,0.9699499165275459,0.9766277128547579,0.9689821925431275,0.005214818274211131,7
3,2.6405529975891113,0.013838017245795734,0.6293854713439941,0.005920914575552936,True,poly,auto,1,"{'shrinking': True, 'kernel': 'poly', 'gamma': 'auto', 'degree': 1}",0.6493506493506493,0.646551724137931,0.6122448979591837,0.4991652754590985,0.0,0.4814625093813725,0.24684588122956763,8,1.0,1.0,1.0,1.0,0.0,0.8,0.4,8,0.7874015748031497,0.7853403141361257,0.759493670886076,0.6659242761692651,0.0,0.5996319671989233,0.3030689513240254,8,0.73,0.7266666666666667,0.6833333333333333,0.4991652754590985,0.4991652754590985,0.6276661101836394,0.106204617575604,8
4,1.0805029392242431,0.03742416805679149,0.25327105522155763,0.002072953248268926,True,sigmoid,scale,1,"{'shrinking': True, 'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 1}",0.9581993569131833,0.964516129032258,0.9552715654952076,0.952076677316294,0.980327868852459,0.9620783195218804,0.010003999840923379,1,0.9933333333333333,0.9966666666666667,0.9966666666666667,0.9966555183946488,0.9966666666666667,0.9959977703455966,0.0013322255029366457,6,0.9754500818330605,0.980327868852459,0.9755301794453508,0.9738562091503269,0.9884297520661156,0.9787188182694624,0.005317674338814223,5,0.975,0.98,0.975,0.9732888146911519,0.988313856427379,0.9783205342237062,0.005478269626005258,5
5,1.1163917541503907,0.02257225825301499,0.2884978771209717,0.0028591395950328473,True,linear,auto,1,"{'shrinking': True, 'kernel': 'linear', 'gamma': 'auto', 'degree': 1}",0.9551282051282052,0.9614147909967846,0.9615384615384616,0.9551282051282052,0.9771241830065359,0.9620667691596385,0.008046331311358868,3,0.9933333333333333,0.9966666666666667,1.0,0.9966555183946488,0.9966666666666667,0.9966644370122631,0.0021081898230186813,2,0.9738562091503268,0.9787234042553191,0.9803921568627451,0.9754500818330606,0.9867986798679869,0.9790441063938877,0.00451408440432934,1,0.9733333333333334,0.9783333333333334,0.98,0.9749582637729549,0.986644407345576,0.9786538675570394,0.00464174778740317,1
6,1.082404375076294,0.01572266107913819,0.25298571586608887,0.0012820074052203585,False,sigmoid,scale,3,"{'shrinking': False, 'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 3}",0.9581993569131833,0.964516129032258,0.9552715654952076,0.952076677316294,0.980327868852459,0.9620783195218804,0.010003999840923379,1,0.9933333333333333,0.9966666666666667,0.9966666666666667,0.9966555183946488,0.9966666666666667,0.9959977703455966,0.0013322255029366457,6,0.9754500818330605,0.980327868852459,0.9755301794453508,0.9738562091503269,0.9884297520661156,0.9787188182694624,0.005317674338814223,5,0.975,0.98,0.975,0.9732888146911519,0.988313856427379,0.9783205342237062,0.005478269626005258,5
7,1.1246564388275146,0.021270687219025766,0.2875827789306641,0.003774206225747675,False,linear,scale,5,"{'shrinking': False, 'kernel': 'linear', 'gamma': 'scale', 'degree': 5}",0.9551282051282052,0.9614147909967846,0.9615384615384616,0.9551282051282052,0.9771241830065359,0.9620667691596385,0.008046331311358868,3,0.9933333333333333,0.9966666666666667,1.0,0.9966555183946488,0.9966666666666667,0.9966644370122631,0.0021081898230186813,2,0.9738562091503268,0.9787234042553191,0.9803921568627451,0.9754500818330606,0.9867986798679869,0.9790441063938877,0.00451408440432934,1,0.9733333333333334,0.9783333333333334,0.98,0.9749582637729549,0.986644407345576,0.9786538675570394,0.00464174778740317,1
8,2.6254293441772463,0.018448040454575373,0.634724473953247,0.005713698826874304,True,sigmoid,auto,5,"{'shrinking': True, 'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 5}",0.6493506493506493,0.646551724137931,0.6122448979591837,0.4991652754590985,0.0,0.4814625093813725,0.24684588122956763,8,1.0,1.0,1.0,1.0,0.0,0.8,0.4,8,0.7874015748031497,0.7853403141361257,0.759493670886076,0.6659242761692651,0.0,0.5996319671989233,0.3030689513240254,8,0.73,0.7266666666666667,0.6833333333333333,0.4991652754590985,0.4991652754590985,0.6276661101836394,0.106204617575604,8
9,1.2206660270690919,0.029519232753570244,0.28818063735961913,0.0031208422286251787,False,poly,scale,1,"{'shrinking': False, 'kernel': 'poly', 'gamma': 'scale', 'degree': 1}",0.9551282051282052,0.9614147909967846,0.9615384615384616,0.9551282051282052,0.9771241830065359,0.9620667691596385,0.008046331311358868,3,0.9933333333333333,0.9966666666666667,1.0,0.9966555183946488,0.9966666666666667,0.9966644370122631,0.0021081898230186813,2,0.9738562091503268,0.9787234042553191,0.9803921568627451,0.9754500818330606,0.9867986798679869,0.9790441063938877,0.00451408440432934,1,0.9733333333333334,0.9783333333333334,0.98,0.9749582637729549,0.986644407345576,0.9786538675570394,0.00464174778740317,1
